"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"860Z200US06390","ZCTA5 06390","17","13","0.0","79.8","0.0","79.8","17.6","29.2","0.0","79.8","0.0","79.8","64.7","40.2","0.0","79.8","0.0","79.8","0.0","79.8","17.6","29.3","51964","12833","85400","62547","17.6","(X)","(X)","(X)","(X)","(X)","10","10","0.0","100.0","0.0","100.0","30.0","40.1","0.0","100.0","0.0","100.0","40.0","44.7","0.0","100.0","0.0","100.0","0.0","100.0","30.0","40.7","-","**","109230","88981","(X)","(X)","30.0","(X)","(X)","(X)","10","10","0.0","100.0","0.0","100.0","30.0","40.1","0.0","100.0","0.0","100.0","40.0","44.7","0.0","100.0","0.0","100.0","0.0","100.0","30.0","40.7","-","**","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7","10","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","100.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","(X)","(X)","(X)","(X)","0.0","(X)",
"860Z200US10001","ZCTA5 10001","15097","796","4.7","1.4","4.6","1.8","4.5","1.6","4.2","1.8","6.5","2.0","10.0","2.7","8.3","2.1","11.4","2.0","11.3","2.6","34.5","3.5","123393","22852","205444","18473","22.0","(X)","(X)","(X)","(X)","(X)","4715","650","4.1","2.7","3.0","2.2","5.0","3.6","3.9","3.0","4.8","3.4","7.7","4.5","8.1","4.5","5.8","3.4","9.4","4.2","48.2","6.7","182117","44151","269616","35285","(X)","(X)","26.5","(X)","(X)","(X)","3291","544","0.6","1.1","0.0","1.2","6.3","5.2","0.9","1.1","5.5","4.6","3.1","2.7","4.2","3.1","7.2","4.5","13.0","5.8","59.4","8.4","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10382","864","5.2","1.8","5.6","2.3","4.4","1.7","4.3","2.1","6.9","2.2","10.8","3.3","8.8","2.3","13.6","2.5","12.0","3.0","28.3","4.1","105801","9254","175089","21182","(X)","(X)","(X)","(X)","20.0","(X)",
"860Z200US10002","ZCTA5 10002","35771","1265","9.5","1.9","10.9","2.1","11.8","1.9","9.0","2.2","11.0","2.0","9.8","1.8","8.6","1.6","11.9","1.9","5.6","1.3","11.8","1.2","46525","5561","93314","6116","42.5","(X)","(X)","(X)","(X)","(X)","16924","978","6.2","1.9","6.5","3.6","12.0","2.9","12.0","4.2","12.9","3.1","12.2","2.8","8.7","2.1","11.1","2.6","5.6","1.8","12.7","2.1","51093","8077","98795","8346","(X)","(X)","45.1","(X)","(X)","(X)","9848","866","1.9","1.3","7.4","6.1","11.7","3.9","11.9","6.8","8.8","3.1","9.0","2.7","9.5","2.8","14.1","3.4","7.6","2.7","18.0","3.2","71682","16972","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18847","952","12.9","3.0","14.8","3.0","11.6","3.0","6.0","1.6","9.5","2.6","7.5","2.1","8.9","2.1","12.6","2.8","5.6","1.6","10.8","1.8","41294","6161","87485","8499","(X)","(X)","(X)","(X)","40.2","(X)",
"860Z200US10003","ZCTA5 10003","25080","1152","7.5","1.8","3.3","1.5","3.3","1.0","2.3","0.8","4.6","1.2","8.9","2.3","7.2","1.5","12.1","1.6","11.7","1.8","39.1","3.5","153750","11191","248577","23076","31.5","(X)","(X)","(X)","(X)","(X)","6847","630","0.5","0.6","2.1","1.9","1.1","1.1","0.9","0.7","3.1","2.1","3.3","1.7","3.9","1.8","8.3","2.8","13.6","3.2","63.2","4.9","250,000+","***","416996","52091","(X)","(X)","39.2","(X)","(X)","(X)","5896","578","0.4","0.5","0.7","0.9","0.9","1.1","0.6","0.6","2.9","2.4","2.5","1.7","3.6","1.8","7.8","3.0","13.3","3.3","67.4","5.1","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18233","1077","10.2","2.4","3.8","2.0","4.2","1.4","2.8","1.1","5.1","1.5","11.0","3.0","8.4","2.0","14.0","1.9","11.0","2.3","29.5","4.2","117570","9771","184364","26945","(X)","(X)","(X)","(X)","28.4","(X)",
"860Z200US10004","ZCTA5 10004","1775","384","2.3","1.6","0.0","2.2","0.3","0.5","0.3","0.5","0.3","0.5","4.6","4.9","9.9","7.5","14.1","7.8","13.4","10.1","54.8","11.5","220592","53147","309645","70590","42.9","(X)","(X)","(X)","(X)","(X)","799","205","1.9","2.8","0.0","4.9","0.8","1.1","0.0","4.9","0.0","4.9","0.5","0.8","3.1","3.5","11.6","10.1","8.1","7.1","74.0","13.2","250,000+","***","394971","85515","(X)","(X)","51.2","(X)","(X)","(X)","761","209","2.0","2.9","0.0","5.1","0.8","1.2","0.0","5.1","0.0","5.1","0.5","0.8","2.6","3.5","12.2","10.4","5.0","4.3","76.9","13.4","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","976","287","2.6","1.9","0.0","4.0","0.0","4.0","0.5","0.9","0.6","0.9","8.0","8.6","16.0","13.3","15.7","11.3","18.1","17.4","38.5","15.9","178034","46920","238825","102272","(X)","(X)","(X)","(X)","36.2","(X)",
"860Z200US10005","ZCTA5 10005","5156","588","0.4","0.6","1.6","1.6","0.2","0.2","2.5","2.3","5.1","3.5","4.2","2.9","7.9","4.3","12.7","4.8","13.9","5.0","51.7","7.2","211810","29291","279387","30910","24.7","(X)","(X)","(X)","(X)","(X)","1432","348","0.0","2.8","0.0","2.8","2.7","5.7","2.9","4.4","0.0","2.8","0.6","1.0","4.7","5.0","8.9","7.1","11.5","8.4","68.6","12.8","250,000+","***","391858","82109","(X)","(X)","24.6","(X)","(X)","(X)","1321","346","0.0","3.0","0.0","3.0","0.0","3.0","3.2","4.7","0.0","3.0","0.7","1.0","4.8","5.5","7.6","6.7","12.4","8.9","71.2","12.3","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3724","587","0.5","0.9","2.1","2.2","0.2","0.3","2.3","2.7","6.0","4.2","5.6","4.0","9.0","5.5","14.1","6.2","14.8","6.7","45.2","8.8","191394","32759","235868","32534","(X)","(X)","(X)","(X)","24.8","(X)",
"860Z200US10006","ZCTA5 10006","2305","270","3.0","2.1","0.0","1.7","2.1","3.4","2.8","3.2","7.6","5.7","7.4","4.6","5.4","4.2","10.3","4.8","8.9","5.0","52.5","9.6","209972","43452","235292","31362","33.9","(X)","(X)","(X)","(X)","(X)","792","262","1.6","2.4","0.0","4.9","6.2","9.4","0.0","4.9","1.4","2.2","0.0","4.9","2.3","3.9","6.4","7.9","9.5","11.2","72.6","15.8","250,000+","***","329790","64126","(X)","(X)","29.4","(X)","(X)","(X)","632","249","0.0","6.1","0.0","6.1","0.0","6.1","0.0","6.1","1.7","2.8","0.0","6.1","2.8","5.1","4.4","7.1","3.6","5.8","87.3","10.3","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1513","261","3.6","3.1","0.0","2.6","0.0","2.6","4.2","4.8","10.9","8.3","11.2","6.4","7.1","6.1","12.3","7.0","8.6","5.5","42.0","12.7","150609","52306","185827","37460","(X)","(X)","(X)","(X)","36.2","(X)",
"860Z200US10007","ZCTA5 10007","3309","472","4.8","3.0","1.4","2.2","0.0","1.2","1.6","2.1","1.1","1.5","2.4","2.6","3.1","3.5","4.4","3.9","14.3","7.1","66.8","7.7","250,000+","***","512350","113482","33.7","(X)","(X)","(X)","(X)","(X)","1690","407","0.8","1.4","0.0","2.3","0.0","2.3","0.0","2.3","0.9","1.7","0.5","1.0","5.1","6.4","3.8","5.7","6.3","6.1","82.5","8.8","250,000+","***","725328","185795","(X)","(X)","30.4","(X)","(X)","(X)","1516","400","0.9","1.6","0.0","2.6","0.0","2.6","0.0","2.6","1.1","1.8","0.0","2.6","5.7","6.9","0.0","2.6","6.0","6.5","86.4","9.3","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1619","292","9.0","6.0","2.9","4.5","0.0","2.4","3.3","4.3","1.3","2.2","4.3","5.3","1.1","1.8","4.9","5.4","22.6","12.7","50.5","11.7","210343","27230","282549","70302","(X)","(X)","(X)","(X)","37.2","(X)",
"860Z200US10009","ZCTA5 10009","30025","1230","10.5","2.0","6.2","1.5","7.1","1.3","3.7","1.1","5.4","1.4","11.8","2.1","9.5","1.9","14.5","2.8","11.1","2.4","20.2","2.7","87963","9219","134024","10212","30.7","(X)","(X)","(X)","(X)","(X)","10493","957","8.2","2.3","3.0","2.7","7.6","2.3","3.7","1.5","9.6","2.9","13.2","3.9","7.0","3.1","9.3","3.5","9.3","3.9","29.0","5.8","88469","24027","169783","24206","(X)","(X)","35.7","(X)","(X)","(X)","6210","919","3.9","2.2","3.5","4.3","5.7","2.8","2.9","1.5","5.4","2.5","10.8","5.6","3.0","2.2","10.4","5.1","14.5","6.4","39.8","8.8","159158","21915","N","N","(X)","(X)","(X)","(X)","(X)","(X)","19532","1245","12.0","3.0","8.5","2.2","6.9","1.6","3.7","1.3","3.5","1.3","10.3","2.2","11.1","2.6","17.2","3.8","11.9","3.0","14.9","3.2","85953","8240","109268","8456","(X)","(X)","(X)","(X)","27.6","(X)",
